Vehicle_Model,Mileage,Maintenance_History,Reported_Issues,Vehicle_Age,Fuel_Type,Odometer_Reading,Last_Service_Date,Warranty_Expiry_Date,Owner_Type,Accident_History,Fuel_Efficiency,Need_Maintenance,Warranty_Status,Days_To_Expiry,Age_Group,Service_Month
Motorcycle,53243,Good,3,3,Diesel,45669,2023-11-05,2025-02-19,First,0,11.607218096658126,1,Expired,-396,2-3 yrs,2023-11
Van,47781,Poor,3,10,Electric,19111,2023-04-27,2025-04-17,Second,2,14.342786809628826,1,Expired,-339,Over 8 yrs,2023-04
Bus,52907,Good,5,5,Electric,69500,2023-10-14,2024-06-03,Second,2,19.46022062648237,1,Expired,-657,3-5 yrs,2023-10
Van,49573,Poor,1,1,Diesel,31659,2023-12-08,2025-03-23,First,0,18.99951897944352,0,Expired,-364,Under 1 yr,2023-12
Bus,60229,Poor,4,2,Diesel,27104,2023-04-30,2025-12-13,Third,2,11.674147029744995,1,Expired,-99,1-2 yrs,2023-04
Car,32382,Poor,3,10,Petrol,73560,2023-05-06,2024-11-01,Third,1,18.99765759255196,1,Expired,-506,Over 8 yrs,2023-05
Car,56615,Average,5,4,Petrol,47704,2023-08-19,2024-08-13,Third,2,18.361618179260756,1,Expired,-586,3-5 yrs,2023-08
Suv,41643,Poor,2,6,Petrol,131985,2023-07-07,2024-12-01,First,2,16.28858992398203,1,Expired,-476,5-8 yrs,2023-07
Bus,78402,Average,1,5,Electric,140083,2023-12-31,2025-10-17,First,2,18.950669201819025,0,Expired,-156,3-5 yrs,2023-12
Bus,39808,Average,3,6,Electric,63042,2023-08-23,2024-04-29,Third,3,19.811806839304168,1,Expired,-692,5-8 yrs,2023-08
Bus,35181,Average,1,10,Petrol,12079,2023-06-27,2025-08-28,Third,2,13.164841988514532,0,Expired,-206,Over 8 yrs,2023-06
Bus,77069,Average,2,5,Electric,8858,2023-06-21,2025-12-13,Second,1,19.23926515072078,1,Expired,-99,3-5 yrs,2023-06
Van,44818,Average,0,10,Petrol,57321,2023-11-09,2024-12-11,First,3,17.242314313069095,1,Expired,-466,Over 8 yrs,2023-11
Suv,75883,Average,2,5,Electric,81301,2023-12-11,2024-10-22,Second,1,19.71076687039505,1,Expired,-516,3-5 yrs,2023-12
Van,57398,Average,2,6,Electric,106540,2023-06-01,2025-04-13,First,0,19.995250712773064,1,Expired,-343,5-8 yrs,2023-06
Suv,63223,Poor,0,2,Petrol,68291,2024-01-06,2026-02-14,Second,2,17.39084218069378,1,Expired,-36,1-2 yrs,2024-01
Motorcycle,32834,Average,3,5,Petrol,98508,2023-05-25,2025-11-02,First,2,12.690779574193654,1,Expired,-140,3-5 yrs,2023-05
Motorcycle,67456,Poor,0,5,Diesel,64284,2024-01-13,2025-07-03,Third,1,17.361774222496685,1,Expired,-262,3-5 yrs,2024-01
Motorcycle,66692,Good,5,6,Diesel,33224,2024-02-20,2026-01-08,Third,3,10.016829286614197,1,Expired,-73,5-8 yrs,2024-02
Truck,46169,Good,0,6,Electric,17575,2023-07-11,2025-09-02,Second,0,13.729941627423994,1,Expired,-201,5-8 yrs,2023-07
Motorcycle,45821,Good,3,2,Electric,63183,2023-08-30,2024-11-08,Third,2,11.854959093108212,0,Expired,-499,1-2 yrs,2023-08
Bus,55187,Good,1,7,Electric,145381,2023-06-24,2025-10-20,First,1,17.203916516401556,1,Expired,-153,5-8 yrs,2023-06
Suv,35220,Good,0,6,Petrol,1179,2023-10-14,2025-12-24,Second,0,14.573835444235756,1,Expired,-88,5-8 yrs,2023-10
Van,36815,Good,2,6,Petrol,138911,2023-10-12,2025-03-25,First,0,13.633747185280308,0,Expired,-362,5-8 yrs,2023-10
Car,75968,Good,2,9,Petrol,108546,2023-08-31,2024-12-05,Second,2,11.851636282999424,1,Expired,-472,Over 8 yrs,2023-08
Suv,32652,Average,5,10,Diesel,92023,2023-08-29,2026-02-21,Second,2,16.98839984875537,1,Expired,-29,Over 8 yrs,2023-08
Truck,48438,Average,2,1,Electric,71745,2024-02-17,2025-09-09,Third,3,16.587839246775246,0,Expired,-194,Under 1 yr,2024-02
Bus,45984,Average,1,9,Diesel,116313,2023-10-20,2024-10-05,Third,2,15.283397085678168,1,Expired,-533,Over 8 yrs,2023-10
Truck,33312,Good,5,9,Diesel,10333,2023-12-14,2024-06-08,Second,0,17.55325787678203,1,Expired,-652,Over 8 yrs,2023-12
Bus,48682,Good,3,5,Diesel,135840,2023-10-19,2024-05-04,First,2,12.710479192018845,1,Expired,-687,3-5 yrs,2023-10
Van,30243,Good,5,8,Diesel,31872,2023-09-01,2024-11-04,Second,3,14.43946412842496,1,Expired,-503,5-8 yrs,2023-09
Bus,76123,Poor,1,3,Diesel,84742,2023-10-04,2024-08-09,Third,0,18.741537428988472,0,Expired,-590,2-3 yrs,2023-10
Motorcycle,75231,Average,5,7,Petrol,109688,2023-11-15,2025-02-20,Second,2,14.352767296170912,1,Expired,-395,5-8 yrs,2023-11
Bus,33875,Good,2,7,Petrol,21283,2023-09-17,2025-03-22,First,0,10.405556348898385,1,Expired,-365,5-8 yrs,2023-09
Suv,76929,Average,5,3,Petrol,114520,2024-01-19,2025-01-06,First,3,17.965139568007324,1,Expired,-440,2-3 yrs,2024-01
Bus,68059,Average,0,10,Electric,27640,2023-12-04,2025-05-15,Second,1,17.642606102064516,1,Expired,-311,Over 8 yrs,2023-12
Bus,35115,Poor,2,4,Diesel,128912,2023-04-12,2024-09-04,Second,3,18.33190353878244,1,Expired,-564,3-5 yrs,2023-04
Suv,36420,Good,5,7,Diesel,147042,2024-02-23,2025-08-23,Second,3,11.475315730144636,1,Expired,-211,5-8 yrs,2024-02
Van,49544,Average,3,6,Electric,51089,2024-02-22,2025-08-01,First,3,18.00493086224023,1,Expired,-233,5-8 yrs,2024-02
Bus,74047,Poor,3,4,Electric,12482,2024-01-04,2025-01-05,Second,3,13.757270487280376,1,Expired,-441,3-5 yrs,2024-01
Car,49662,Poor,4,8,Petrol,72512,2024-02-22,2025-07-03,Third,2,11.384298263857898,1,Expired,-262,5-8 yrs,2024-02
Car,46285,Poor,0,9,Diesel,72752,2023-08-16,2024-11-26,First,2,14.304368711127132,0,Expired,-481,Over 8 yrs,2023-08
Motorcycle,42722,Good,5,7,Diesel,3701,2023-11-04,2024-12-20,First,0,19.718289923481343,1,Expired,-457,5-8 yrs,2023-11
Car,49498,Good,5,4,Electric,98376,2024-02-05,2025-04-07,Third,2,16.864159939662997,1,Expired,-349,3-5 yrs,2024-02
Van,30899,Poor,3,2,Electric,7332,2023-09-01,2025-02-05,First,0,11.18087299082856,1,Expired,-410,1-2 yrs,2023-09
Car,65623,Average,4,5,Electric,33416,2024-01-06,2024-05-26,First,1,19.507821823822542,1,Expired,-665,3-5 yrs,2024-01
Suv,52220,Average,2,1,Diesel,45775,2023-06-28,2025-12-14,Third,1,10.468555108733293,0,Expired,-98,Under 1 yr,2023-06
Van,72504,Good,4,3,Petrol,121426,2023-10-05,2025-01-27,First,1,14.298450242526243,1,Expired,-419,2-3 yrs,2023-10
Truck,76030,Good,5,10,Electric,120432,2023-09-04,2025-08-01,Second,3,18.34573662312604,1,Expired,-233,Over 8 yrs,2023-09
Motorcycle,35314,Average,1,8,Petrol,56358,2023-07-03,2025-03-14,Third,2,17.911811106753937,1,Expired,-373,5-8 yrs,2023-07
Car,55493,Good,4,7,Diesel,34393,2023-05-05,2024-05-12,Third,0,18.3427361449304,1,Expired,-679,5-8 yrs,2023-05
Bus,44537,Poor,0,2,Electric,123236,2023-08-02,2026-01-28,Second,0,14.040819110133455,1,Expired,-53,1-2 yrs,2023-08
Suv,52979,Average,1,3,Petrol,42039,2023-12-13,2025-01-26,First,0,15.046025004630827,1,Expired,-420,2-3 yrs,2023-12
Bus,62748,Poor,1,3,Electric,112747,2023-12-21,2024-05-03,Third,1,17.716310031658608,1,Expired,-688,2-3 yrs,2023-12
Truck,66028,Good,4,2,Diesel,135121,2024-02-20,2024-07-30,Second,0,12.011331507807206,1,Expired,-600,1-2 yrs,2024-02
Motorcycle,34728,Poor,4,1,Petrol,129603,2023-09-20,2026-03-19,First,2,11.698244581086646,1,Expired,-3,Under 1 yr,2023-09
Car,68413,Average,1,5,Electric,89946,2023-07-23,2026-01-17,Third,2,18.54402443087615,1,Expired,-64,3-5 yrs,2023-07
Motorcycle,30463,Average,2,6,Petrol,120141,2023-11-08,2024-06-06,Third,3,12.60075729556118,0,Expired,-654,5-8 yrs,2023-11
Bus,49998,Poor,1,5,Electric,13687,2023-10-29,2026-01-27,Third,2,17.08928972721494,1,Expired,-54,3-5 yrs,2023-10
Suv,77182,Poor,3,2,Electric,139685,2023-10-21,2024-08-22,First,2,15.859564685065507,1,Expired,-577,1-2 yrs,2023-10
Car,58868,Good,4,4,Diesel,70345,2024-01-18,2025-04-28,First,0,11.463486236475203,1,Expired,-328,3-5 yrs,2024-01
Van,77537,Good,1,6,Petrol,130903,2023-10-04,2025-03-19,First,2,12.395635787097746,0,Expired,-368,5-8 yrs,2023-10
Car,44992,Average,0,5,Petrol,27451,2023-12-02,2026-03-11,Third,3,19.582074185706706,1,Expired,-11,3-5 yrs,2023-12
Suv,55603,Good,3,8,Petrol,143838,2023-12-02,2025-01-16,Third,1,13.678853970772105,0,Expired,-430,5-8 yrs,2023-12
Motorcycle,76569,Average,4,9,Electric,69093,2023-05-11,2026-03-12,Third,0,19.80753652185889,1,Expired,-10,Over 8 yrs,2023-05
Suv,30691,Average,2,9,Electric,13852,2023-11-06,2025-12-23,Second,2,10.286152089302483,1,Expired,-89,Over 8 yrs,2023-11
Bus,34081,Average,3,2,Diesel,4166,2023-05-20,2024-10-29,Third,2,13.922358185022208,1,Expired,-509,1-2 yrs,2023-05
Motorcycle,78236,Average,5,5,Diesel,45713,2023-06-05,2025-08-28,First,2,17.793365197569685,1,Expired,-206,3-5 yrs,2023-06
Van,45815,Good,2,9,Electric,104127,2024-01-04,2026-03-28,Third,3,16.719045864428367,0,Active,6,Over 8 yrs,2024-01
Motorcycle,77115,Poor,2,1,Electric,124371,2024-01-17,2026-01-06,Third,0,13.828618471636446,1,Expired,-75,Under 1 yr,2024-01
Truck,50768,Good,2,2,Petrol,8465,2023-04-29,2025-07-14,First,3,10.856693073838413,1,Expired,-251,1-2 yrs,2023-04
Truck,52428,Poor,2,4,Petrol,84775,2023-08-24,2025-04-07,Second,2,10.887748297289956,1,Expired,-349,3-5 yrs,2023-08
Truck,74635,Poor,3,10,Diesel,41858,2024-02-13,2025-01-11,Third,0,14.46833094794853,1,Expired,-435,Over 8 yrs,2024-02
Motorcycle,45833,Poor,4,7,Diesel,95815,2023-08-21,2024-05-07,Third,2,14.12808423520289,1,Expired,-684,5-8 yrs,2023-08
Car,48297,Average,4,7,Electric,70855,2023-12-16,2025-08-10,First,3,14.830883415032924,1,Expired,-224,5-8 yrs,2023-12
Van,42403,Poor,1,9,Diesel,94436,2023-06-14,2024-06-06,Third,3,19.038669112472505,1,Expired,-654,Over 8 yrs,2023-06
Bus,30124,Poor,1,10,Diesel,107313,2024-02-24,2024-11-15,First,1,11.563438822748358,1,Expired,-492,Over 8 yrs,2024-02
Motorcycle,70300,Good,2,3,Electric,66524,2023-11-06,2024-12-26,Second,2,18.44403066702388,1,Expired,-451,2-3 yrs,2023-11
Car,36968,Good,4,5,Electric,84749,2023-07-20,2025-06-20,Third,0,11.538069758471377,1,Expired,-275,3-5 yrs,2023-07
Bus,54211,Average,1,5,Electric,10254,2023-07-05,2025-12-30,Second,0,12.9027114738836,0,Expired,-82,3-5 yrs,2023-07
Truck,68722,Poor,2,2,Petrol,126519,2023-04-27,2025-04-04,Third,2,14.402402565397168,1,Expired,-352,1-2 yrs,2023-04
Motorcycle,65421,Poor,5,3,Electric,85869,2023-05-26,2025-12-07,Third,0,11.211245978912537,1,Expired,-105,2-3 yrs,2023-05
Van,32947,Good,0,4,Diesel,91714,2023-06-21,2024-11-10,First,1,12.591242878838065,0,Expired,-497,3-5 yrs,2023-06
Van,48955,Poor,3,3,Petrol,125464,2023-12-14,2024-05-25,Second,3,11.616382149015674,1,Expired,-666,2-3 yrs,2023-12
Motorcycle,79899,Poor,5,2,Petrol,13514,2023-08-10,2025-11-22,First,3,10.554811906653294,1,Expired,-120,1-2 yrs,2023-08
Car,34633,Good,5,1,Petrol,129665,2023-04-11,2025-04-08,Third,2,12.93717917537207,1,Expired,-348,Under 1 yr,2023-04
Car,49436,Poor,5,2,Diesel,45987,2023-10-15,2025-12-11,Third,1,12.243553985973502,1,Expired,-101,1-2 yrs,2023-10
Car,45838,Poor,2,4,Electric,61488,2023-11-06,2025-07-07,Second,1,19.133207390214025,1,Expired,-258,3-5 yrs,2023-11
Motorcycle,39074,Good,3,1,Diesel,115409,2023-11-12,2025-11-04,First,0,12.587630478716472,1,Expired,-138,Under 1 yr,2023-11
Motorcycle,72560,Poor,4,10,Diesel,94539,2023-08-19,2025-06-05,Third,1,15.542544247694124,1,Expired,-290,Over 8 yrs,2023-08
Suv,54469,Good,1,5,Petrol,117730,2023-07-31,2026-03-10,Second,2,17.33479466488197,1,Expired,-12,3-5 yrs,2023-07
Van,42222,Poor,2,4,Electric,39503,2023-12-26,2025-10-10,Second,2,17.044263840343916,1,Expired,-163,3-5 yrs,2023-12
Motorcycle,58831,Poor,3,4,Petrol,12113,2023-10-20,2024-12-07,First,2,18.849370689626326,1,Expired,-470,3-5 yrs,2023-10
Car,74983,Average,3,10,Petrol,67159,2023-10-18,2024-12-12,Second,3,10.67133648299977,1,Expired,-465,Over 8 yrs,2023-10
Motorcycle,45727,Average,0,9,Diesel,48465,2023-10-06,2025-10-08,Second,0,16.4760838246526,0,Expired,-165,Over 8 yrs,2023-10
Car,76349,Poor,0,9,Petrol,11225,2023-05-09,2025-11-26,Second,3,11.198479963452698,1,Expired,-116,Over 8 yrs,2023-05
Truck,63198,Poor,4,5,Petrol,137231,2023-08-31,2024-11-18,Second,2,18.713491064954603,1,Expired,-489,3-5 yrs,2023-08
Van,59864,Poor,1,4,Electric,65120,2023-05-26,2025-05-07,Third,3,19.716088970851573,0,Expired,-319,3-5 yrs,2023-05
Van,71696,Average,3,5,Diesel,120396,2023-07-19,2025-11-18,Second,2,15.80786131514423,1,Expired,-124,3-5 yrs,2023-07
Car,60831,Good,4,9,Diesel,104523,2023-11-04,2025-09-04,Third,3,10.450784405745638,1,Expired,-199,Over 8 yrs,2023-11
Car,60514,Average,5,9,Electric,71830,2024-02-19,2025-05-28,Third,3,14.702737730675862,1,Expired,-298,Over 8 yrs,2024-02
Bus,41497,Poor,3,10,Diesel,100885,2023-10-12,2025-11-26,First,1,18.969059404192627,1,Expired,-116,Over 8 yrs,2023-10
Car,61731,Good,4,9,Diesel,59499,2023-11-26,2024-06-19,First,3,19.994109081110064,1,Expired,-641,Over 8 yrs,2023-11
Truck,67468,Average,5,1,Diesel,82621,2024-01-18,2026-01-16,First,1,13.596061981589504,1,Expired,-65,Under 1 yr,2024-01
Suv,61343,Poor,4,9,Petrol,108309,2023-06-22,2025-05-20,Third,2,16.764736356982148,1,Expired,-306,Over 8 yrs,2023-06
Truck,63599,Average,0,10,Petrol,109340,2023-04-16,2024-12-22,First,2,11.024607999464576,1,Expired,-455,Over 8 yrs,2023-04
Car,44932,Average,5,2,Diesel,125621,2023-11-29,2024-12-13,Third,0,12.17231665928024,1,Expired,-464,1-2 yrs,2023-11
Car,67487,Good,4,4,Petrol,105572,2024-01-13,2025-11-08,Second,2,16.969830861797867,1,Expired,-134,3-5 yrs,2024-01
Bus,73492,Average,3,5,Diesel,111555,2024-01-08,2026-02-28,Third,0,18.069103570415265,1,Expired,-22,3-5 yrs,2024-01
Bus,40410,Poor,2,9,Diesel,128551,2023-10-20,2024-05-12,Third,0,18.460828718259425,1,Expired,-679,Over 8 yrs,2023-10
Truck,46947,Good,3,1,Electric,107872,2024-02-24,2024-08-31,Second,0,18.61475068388691,1,Expired,-568,Under 1 yr,2024-02
Suv,62679,Average,0,3,Petrol,48796,2023-08-31,2025-11-19,First,2,13.10817559025061,1,Expired,-123,2-3 yrs,2023-08
Truck,38625,Poor,5,9,Petrol,126568,2023-04-27,2025-02-25,Third,2,13.26699968684336,1,Expired,-390,Over 8 yrs,2023-04
Car,56189,Poor,0,3,Electric,112471,2023-08-21,2024-10-18,Third,0,16.343727147302666,0,Expired,-520,2-3 yrs,2023-08
Suv,48826,Average,5,1,Diesel,130033,2023-09-07,2025-12-13,Third,1,15.328227730236703,1,Expired,-99,Under 1 yr,2023-09
Van,52692,Good,1,8,Electric,83095,2023-08-31,2026-02-05,Third,1,16.956791991871043,1,Expired,-45,5-8 yrs,2023-08
Van,61643,Poor,1,9,Diesel,7526,2023-07-23,2024-11-25,Second,2,14.63550772947415,1,Expired,-482,Over 8 yrs,2023-07
Car,75660,Poor,4,8,Electric,44255,2024-01-25,2025-01-18,First,1,15.05250144962674,1,Expired,-428,5-8 yrs,2024-01
Car,37180,Average,5,6,Electric,37183,2023-12-04,2026-02-14,Second,1,16.996238838850417,1,Expired,-36,5-8 yrs,2023-12
Suv,30638,Poor,0,4,Diesel,26907,2023-12-12,2025-09-22,Third,1,19.31254274820698,1,Expired,-181,3-5 yrs,2023-12
Truck,44983,Average,3,1,Electric,36038,2023-09-21,2025-01-02,First,2,12.520607930670735,1,Expired,-444,Under 1 yr,2023-09
Truck,58749,Average,4,4,Diesel,113540,2023-10-06,2025-06-22,Third,2,15.2575917709969,1,Expired,-273,3-5 yrs,2023-10
Van,78619,Average,4,8,Diesel,62696,2023-12-21,2025-10-07,Third,3,14.22584661113289,1,Expired,-166,5-8 yrs,2023-12
Car,57665,Poor,2,1,Petrol,44224,2024-02-20,2025-07-28,First,0,17.382753889482153,1,Expired,-237,Under 1 yr,2024-02
Bus,65111,Average,3,8,Electric,94914,2023-10-13,2024-08-23,First,1,18.641770596715546,1,Expired,-576,5-8 yrs,2023-10
Truck,68954,Poor,4,4,Electric,128135,2023-09-30,2025-09-09,Second,0,18.585121824385652,1,Expired,-194,3-5 yrs,2023-09
Truck,67095,Poor,2,7,Diesel,145171,2023-07-16,2025-07-05,First,1,11.916229773673871,1,Expired,-260,5-8 yrs,2023-07
Motorcycle,42494,Good,4,4,Electric,113180,2023-07-14,2024-05-09,Second,1,17.195433640882303,1,Expired,-682,3-5 yrs,2023-07
Bus,68326,Poor,0,9,Petrol,140671,2023-04-26,2025-03-16,First,1,14.260893396671731,1,Expired,-371,Over 8 yrs,2023-04
Bus,63857,Average,3,6,Diesel,87815,2023-06-05,2024-11-30,Second,3,12.847760373136104,1,Expired,-477,5-8 yrs,2023-06
Motorcycle,46629,Average,3,5,Diesel,41760,2023-07-18,2025-12-06,Third,2,11.799432296320305,1,Expired,-106,3-5 yrs,2023-07
Suv,62367,Average,3,4,Petrol,7889,2024-01-21,2025-02-11,Second,1,18.974509421720605,1,Expired,-404,3-5 yrs,2024-01
Truck,45342,Average,2,5,Diesel,30017,2023-11-26,2025-02-01,First,1,17.004183085545524,1,Expired,-414,3-5 yrs,2023-11
Van,55888,Good,1,8,Electric,143176,2024-01-28,2025-07-16,Second,0,17.373866679885076,1,Expired,-249,5-8 yrs,2024-01
Car,58112,Average,5,2,Electric,31849,2023-07-04,2025-11-06,Second,0,14.87097020780387,1,Expired,-136,1-2 yrs,2023-07
Van,52186,Poor,3,6,Petrol,46951,2023-09-18,2024-10-23,Second,1,12.659322120393597,1,Expired,-515,5-8 yrs,2023-09
Van,30218,Poor,2,6,Diesel,129232,2023-12-21,2025-03-13,Third,0,17.80162839449542,1,Expired,-374,5-8 yrs,2023-12
Car,60908,Good,4,2,Diesel,121947,2023-04-01,2025-09-06,Third,0,18.378251460198975,1,Expired,-197,1-2 yrs,2023-04
Motorcycle,38531,Good,4,7,Diesel,25539,2023-05-30,2025-02-05,First,3,17.72938682043973,1,Expired,-410,5-8 yrs,2023-05
Suv,46410,Poor,1,5,Electric,6887,2024-01-22,2025-07-28,Third,3,18.75256238079446,0,Expired,-237,3-5 yrs,2024-01
Suv,45446,Average,0,5,Petrol,61962,2023-10-02,2025-01-10,First,3,15.516132144038965,0,Expired,-436,3-5 yrs,2023-10
Bus,62341,Poor,1,10,Electric,109438,2023-12-01,2025-02-21,First,0,12.412198596691027,0,Expired,-394,Over 8 yrs,2023-12
Van,41427,Poor,1,3,Petrol,127951,2024-01-14,2024-07-06,Second,2,10.348263812931668,1,Expired,-624,2-3 yrs,2024-01
Truck,50448,Average,2,3,Petrol,84006,2024-02-11,2025-11-29,Second,2,13.951517200521202,1,Expired,-113,2-3 yrs,2024-02
Suv,43880,Poor,1,2,Petrol,128593,2024-02-16,2026-01-24,Second,2,13.584534133120378,0,Expired,-57,1-2 yrs,2024-02
Truck,78410,Good,5,10,Diesel,142727,2023-06-06,2025-07-17,Second,0,12.81635956203212,1,Expired,-248,Over 8 yrs,2023-06
Van,37043,Average,1,2,Diesel,133332,2023-06-26,2026-03-17,First,1,12.886480690130202,1,Expired,-5,1-2 yrs,2023-06
Van,61143,Good,4,5,Electric,113681,2023-07-22,2025-01-27,Third,0,17.336658353133007,1,Expired,-419,3-5 yrs,2023-07
Car,60577,Average,1,10,Diesel,113738,2023-03-31,2025-02-28,Third,3,16.34607372148041,1,Expired,-387,Over 8 yrs,2023-03
Bus,33572,Average,3,1,Electric,109828,2023-08-01,2025-01-11,First,0,17.19682816818046,1,Expired,-435,Under 1 yr,2023-08
Bus,38380,Good,4,6,Diesel,138413,2023-05-30,2026-02-27,Second,0,11.088926421644413,1,Expired,-23,5-8 yrs,2023-05
Bus,48095,Poor,0,4,Diesel,38959,2023-06-08,2024-05-29,First,3,10.693245244985649,0,Expired,-662,3-5 yrs,2023-06
Bus,53748,Poor,0,1,Petrol,139474,2024-02-27,2024-08-04,Third,1,13.137724938818298,1,Expired,-595,Under 1 yr,2024-02
Bus,39918,Good,5,9,Electric,88681,2023-07-29,2024-07-27,First,0,19.922435446332848,1,Expired,-603,Over 8 yrs,2023-07
Truck,50138,Poor,1,5,Diesel,136177,2023-10-04,2024-07-14,Second,2,10.262199441443498,1,Expired,-616,3-5 yrs,2023-10
Suv,75575,Poor,1,5,Petrol,68313,2023-09-17,2024-09-01,Third,1,19.47961570686449,1,Expired,-567,3-5 yrs,2023-09
Truck,45913,Good,5,9,Petrol,34633,2023-10-29,2024-07-28,First,3,15.540593669313765,1,Expired,-602,Over 8 yrs,2023-10
Van,74663,Average,2,5,Diesel,112236,2024-01-13,2025-07-10,First,2,15.920712600423588,1,Expired,-255,3-5 yrs,2024-01
Motorcycle,70879,Poor,2,8,Petrol,42679,2023-10-23,2024-06-19,Second,3,16.263567191167017,1,Expired,-641,5-8 yrs,2023-10
Motorcycle,41660,Good,0,10,Electric,119714,2023-06-21,2026-02-17,Second,1,18.95765167429594,1,Expired,-33,Over 8 yrs,2023-06
Van,47421,Poor,4,6,Petrol,112699,2024-01-04,2025-07-27,Third,2,18.935721513900347,1,Expired,-238,5-8 yrs,2024-01
Suv,56292,Average,4,7,Petrol,18760,2024-01-01,2025-11-29,Second,0,14.028507462773824,1,Expired,-113,5-8 yrs,2024-01
Motorcycle,34946,Average,5,10,Electric,67268,2023-06-10,2025-08-26,Second,1,10.0041212607526,1,Expired,-208,Over 8 yrs,2023-06
Van,76602,Good,1,4,Diesel,56712,2023-08-17,2025-12-16,Third,0,19.76911167733493,1,Expired,-96,3-5 yrs,2023-08
Van,60649,Good,3,4,Electric,26670,2023-07-04,2025-01-14,Third,3,10.9060894684911,1,Expired,-432,3-5 yrs,2023-07
Suv,56062,Average,2,7,Petrol,118240,2023-04-05,2024-09-28,First,3,16.842839318972175,0,Expired,-540,5-8 yrs,2023-04
Suv,38640,Good,3,2,Petrol,77072,2023-06-28,2025-04-29,Second,3,12.57017410029017,0,Expired,-327,1-2 yrs,2023-06
Truck,54371,Good,4,5,Electric,26717,2023-06-11,2025-08-22,Second,0,16.025559232069313,1,Expired,-212,3-5 yrs,2023-06
Bus,74351,Average,1,4,Petrol,98188,2023-11-03,2025-10-07,First,2,14.470444594354838,1,Expired,-166,3-5 yrs,2023-11
Bus,70369,Good,5,5,Diesel,52959,2023-07-11,2025-07-10,First,3,16.658959491890048,1,Expired,-255,3-5 yrs,2023-07
Bus,40292,Good,1,10,Electric,96086,2024-01-23,2024-12-07,Second,2,11.808901853534788,1,Expired,-470,Over 8 yrs,2024-01
Van,64242,Average,1,1,Petrol,35807,2023-06-30,2024-11-11,Third,2,19.149000379274128,1,Expired,-496,Under 1 yr,2023-06
Car,45858,Good,5,2,Diesel,58478,2023-08-03,2025-07-23,Third,0,16.219144706808656,1,Expired,-242,1-2 yrs,2023-08
Bus,54516,Poor,1,6,Diesel,47083,2023-04-06,2025-04-19,Second,1,10.688079506089688,0,Expired,-337,5-8 yrs,2023-04
Suv,63460,Average,2,3,Diesel,65907,2023-05-04,2024-08-06,Third,0,13.747299703083131,1,Expired,-593,2-3 yrs,2023-05
Truck,49406,Poor,5,4,Electric,33645,2023-07-02,2025-05-16,First,1,16.49321672996902,1,Expired,-310,3-5 yrs,2023-07
Motorcycle,49893,Good,0,3,Electric,106677,2023-11-30,2024-05-26,Second,3,14.733951117866429,1,Expired,-665,2-3 yrs,2023-11
Van,72760,Good,3,10,Diesel,45242,2023-06-16,2025-12-24,First,3,10.08316565873282,1,Expired,-88,Over 8 yrs,2023-06
Suv,65021,Poor,5,10,Electric,115733,2023-04-05,2026-02-26,Second,3,19.146879662064737,1,Expired,-24,Over 8 yrs,2023-04
Car,35748,Poor,1,5,Petrol,97295,2023-04-18,2025-08-18,Third,1,17.95340041904255,0,Expired,-216,3-5 yrs,2023-04
Truck,30279,Good,0,9,Diesel,142607,2023-11-04,2026-01-28,Second,3,19.62294486465944,1,Expired,-53,Over 8 yrs,2023-11
Van,49211,Poor,0,10,Electric,129946,2023-12-04,2026-03-25,Third,2,14.768338820191351,1,Active,3,Over 8 yrs,2023-12
Truck,66735,Good,5,3,Petrol,44130,2023-05-28,2024-10-22,Second,2,18.274127800993472,1,Expired,-516,2-3 yrs,2023-05
Truck,62582,Poor,1,7,Petrol,62203,2023-04-14,2025-05-31,Third,3,18.39732381259052,0,Expired,-295,5-8 yrs,2023-04
Van,55279,Average,0,9,Electric,49479,2023-06-25,2025-03-27,Second,3,14.256032332622212,0,Expired,-360,Over 8 yrs,2023-06
Bus,33837,Good,2,1,Electric,37894,2023-10-19,2025-07-30,Third,1,16.47611209953754,0,Expired,-235,Under 1 yr,2023-10
Suv,64820,Average,4,6,Diesel,120051,2024-02-15,2024-06-17,First,2,18.094542457256665,1,Expired,-643,5-8 yrs,2024-02
Motorcycle,44165,Poor,0,8,Petrol,62355,2023-04-14,2025-12-31,Third,1,12.433455214479537,0,Expired,-81,5-8 yrs,2023-04
Suv,54284,Good,4,8,Petrol,136065,2023-08-26,2025-12-19,Third,3,13.264688502361086,1,Expired,-93,5-8 yrs,2023-08
Motorcycle,30646,Poor,0,8,Petrol,8238,2023-11-19,2025-05-20,Second,0,15.957423240199388,0,Expired,-306,5-8 yrs,2023-11
Car,59521,Average,5,1,Electric,30720,2023-11-24,2025-01-15,Second,2,12.76581968594876,1,Expired,-431,Under 1 yr,2023-11
Van,62184,Good,2,2,Diesel,102933,2023-09-16,2025-06-21,Second,3,11.9676360205133,1,Expired,-274,1-2 yrs,2023-09
Truck,64803,Average,3,4,Petrol,43587,2023-06-07,2025-06-11,First,3,14.71544035651273,1,Expired,-284,3-5 yrs,2023-06
Car,41343,Good,3,8,Electric,15450,2023-06-04,2025-05-05,Third,0,18.707993871433324,0,Expired,-321,5-8 yrs,2023-06
Suv,36040,Poor,3,3,Electric,124409,2023-06-16,2025-08-25,Third,3,11.490281528458633,1,Expired,-209,2-3 yrs,2023-06
